,stock_code,date,open_p,max_p,min_p,close_p,volume_s,volume_p,volume_s1,volume_s7,volume_s30,gap,re,OBV,K,D,J,CCI,MACD,var,credit
21,SH600519,2019-01-31,680.0,689.6,677.56,689.6,3669657,2515374848.0,2269996.0,4212221.0,1922218.0,12.040000000000077,0.014117647058823563,743532789.0,62.738598902260854,65.00923723823134,58.197322230319884,-151.5167409738555,7122.470642919474,-0.011376816177821155,1.0
22,SH600519,2019-02-01,697.04,699.0,689.61,692.67,3052062,2121326080.0,3669657.0,3362481.0,2571596.0,9.389999999999986,-0.006269367611614836,746584851.0,69.27671299366405,66.43172915670891,74.96668066757434,-145.2433094539917,7158.407658039069,-0.011376816177821155,1.0
23,SH600519,2019-02-11,695.0,729.5,688.18,725.3,5814075,4143849728.0,3052062.0,2915527.0,2694098.0,41.32000000000005,0.04359712230215821,752398926.0,77.40842189131114,70.09062673490966,92.04401220411407,-158.94917570536262,7259.660933417742,-0.011376816177821155,1.0
24,SH600519,2019-02-12,723.0,725.49,715.2,717.92,3509143,2521840128.0,5814075.0,2898635.0,3064043.0,10.289999999999964,-0.007026279391424676,748889783.0,78.98399575228619,73.05508307403517,90.84182110878822,-127.01704044640718,7322.862640661009,-0.011376816177821155,1.0
25,SH600519,2019-02-13,723.0,736.16,717.22,735.25,3567706,2589623552.0,3509143.0,3610287.0,1910986.0,18.93999999999994,0.0169432918395574,752457489.0,85.5442992026196,77.21815511689664,102.19658737406553,-100.53301773923475,7411.338818096147,-0.011376816177821155,1.0
26,SH600519,2019-02-14,731.2,743.66,730.14,737.16,3225813,2375987200.0,3567706.0,3034259.0,2659286.0,13.519999999999982,0.008150984682713242,755683302.0,87.499177704381,80.6451626460581,101.2072078210268,-87.37533720379808,7485.2250080484255,-0.011347246569783843,1.0
27,SH600519,2019-02-15,734.88,734.88,723.02,724.78,2323798,1691515520.0,3225813.0,2269996.0,1786620.0,11.860000000000014,-0.013743740474635346,753359504.0,83.34820499703468,81.5461767630503,86.95226146500346,-31.708504635227683,7515.664809679533,-0.011376816177821155,-1.0
28,SH600519,2019-02-18,731.0,744.95,731.0,740.0,3774589,2787523072.0,2323798.0,3669657.0,2949357.0,13.950000000000045,0.012311901504787962,757134093.0,86.50576489770886,83.19937280793648,93.11854907725362,-42.954680668221805,7573.619771678828,-0.011376816177821155,1.0
29,SH600519,2019-02-19,740.96,742.5,726.66,730.76,2950150,2164408832.0,3774589.0,3052062.0,6367837.0,15.840000000000032,-0.013765925286115371,754183943.0,83.98499773909678,83.46124778498991,85.03249764731052,-10.392333033842812,7598.557938164265,-0.011376816177821155,-1.0
30,SH600519,2019-02-20,735.0,735.0,716.06,722.0,3788237,2742919680.0,2950150.0,5814075.0,6228649.0,18.940000000000055,-0.017687074829931974,750395706.0,75.84790466383095,80.92346674460359,65.69678050228566,25.620673230633212,7598.588027147185,-0.011414985837307982,-1.0
